Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
energy,768,8,Localized CQR,RELU,Bin 3,3,3,90%,0.8934782608695653,0.05706262934089865,0.3033371905998691,,,,,,,,,46.0
energy,768,8,Localized CQR,RELU,Bin 4,1,4,90%,0.9086956521739131,0.062099377639503045,0.6620229583496795,,,,,,,,,46.0
energy,768,8,Localized CQR,RELU,Bin 5,0,5,90%,0.9282608695652174,0.023913043478260905,0.41861660784596333,,,,,,,,,46.0
concrete,1030,8,Global CQR,RELU,Overall,,,90%,0.9029126213592233,0.017307109329606395,1.1326498985290527,0.0780885298187563,18.922389961232263,1.0847522437572479,0.29367758333683014,0.8543363299841353,0.02901738418151398,0.9467477525118984,0.09241142252776305,
concrete,1030,8,Global CQR,RELU,Bin 1,1,1,90%,0.8758064516129032,0.038877325139335284,1.1091786861419677,,,,,,,,,62.0
concrete,1030,8,Global CQR,RELU,Bin 2,2,2,90%,0.9016393442622949,0.04519360246586958,1.1476210832595826,,,,,,,,,61.0
concrete,1030,8,Global CQR,RELU,Bin 3,4,3,90%,0.9048387096774192,0.04354838709677419,1.1432407975196839,,,,,,,,,62.0
concrete,1030,8,Global CQR,RELU,Bin 4,0,4,90%,0.9112903225806452,0.025245928778223427,1.1801114618778228,,,,,,,,,62.0
concrete,1030,8,Global CQR,RELU,Bin 5,3,5,90%,0.9209677419354838,0.03340695996323866,1.0833389163017273,,,,,,,,,62.0
concrete,1030,8,Localized CQR,RELU,Overall,,,90%,0.8559870550161811,0.015671585777091594,1.0165954821767533,0.06511918547537734,16.98665510631431,0.9459897268563509,0.4992653792054377,0.7795081967213116,0.04225364498226454,0.9129032258064516,0.1333950290851401,
concrete,1030,8,Localized CQR,RELU,Bin 1,2,1,90%,0.8459016393442622,0.06687238706351194,1.0091204065396686,,,,,,,,,61.0
concrete,1030,8,Localized CQR,RELU,Bin 2,4,2,90%,0.8516129032258064,0.0589537641370873,1.0115027833515966,,,,,,,,,62.0
concrete,1030,8,Localized CQR,RELU,Bin 3,1,3,90%,0.8532258064516128,0.06429397234837016,1.0408059049372622,,,,,,,,,62.0
concrete,1030,8,Localized CQR,RELU,Bin 4,0,4,90%,0.8629032258064516,0.028168143865440264,1.0935065805902757,,,,,,,,,62.0
concrete,1030,8,Localized CQR,RELU,Bin 5,3,5,90%,0.8661290322580644,0.03954080861977827,0.9279211697288818,,,,,,,,,62.0
community,1994,100,Global CQR,RELU,Overall,,,90%,0.9018363939899834,0.015021331391254755,1.9579968571662902,0.13374305680031787,0.44562334561619776,1.8323891043663025,0.4026677817106247,0.7625,0.0423690793962872,0.9949999999999999,0.23249999999999998,
community,1994,100,Global CQR,RELU,Bin 1,0,1,90%,0.7925000000000001,0.07513413930357417,2.2426695108413695,,,,,,,,,120.0
community,1994,100,Global CQR,RELU,Bin 2,1,2,90%,0.8691666666666666,0.05028391613848531,2.0172613859176636,,,,,,,,,120.0
community,1994,100,Global CQR,RELU,Bin 3,2,3,90%,0.9378151260504202,0.02132534040411682,1.9174173474311829,,,,,,,,,119.0
community,1994,100,Global CQR,RELU,Bin 4,3,4,90%,0.945,0.03399346342395191,1.8163129210472106,,,,,,,,,120.0
community,1994,100,Global CQR,RELU,Bin 5,4,5,90%,0.9650000000000001,0.0913479307069648,1.7959850192070008,,,,,,,,,120.0
community,1994,100,Localized CQR,RELU,Overall,,,90%,0.9013355592654424,0.017420763162899755,1.7899785771363792,0.10695743704696214,0.40747947588113503,1.6114063212648033,0.897194184673889,0.8424999999999999,0.03641008712492246,0.9499719887955183,0.10747198879551823,
community,1994,100,Localized CQR,RELU,Bin 1,0,1,90%,0.8658333333333333,0.04140752749601615,2.681344079643373,,,,,,,,,120.0
community,1994,100,Localized CQR,RELU,Bin 2,1,2,90%,0.8858333333333333,0.029356524923014233,2.1094457464956617,,,,,,,,,120.0
community,1994,100,Localized CQR,RELU,Bin 3,3,3,90%,0.9083333333333334,0.028382310609877327,1.338832733923369,,,,,,,,,120.0
community,1994,100,Localized CQR,RELU,Bin 4,2,4,90%,0.9184873949579833,0.03625152035314786,1.7284644407495413,,,,,,,,,119.0
community,1994,100,Localized CQR,RELU,Bin 5,4,5,90%,0.9283333333333333,0.055926539118541715,1.0912932670667275,,,,,,,,,120.0
california_housing,20640,8,Global CQR,RELU,Overall,,,90%,0.903843669250646,0.003255070461846023,1.2961117029190063,0.02642431332498635,1.4939688217894977,1.1852489471435548,0.6613560438156127,0.8812407342937723,0.01706485643741515,0.9227167409227046,0.041476006628932346,
california_housing,20640,8,Global CQR,RELU,Bin 1,0,1,90%,0.8927360774818401,0.02294911910467717,1.3918110728263855,,,,,,,,,1239.0
california_housing,20640,8,Global CQR,RELU,Bin 2,1,2,90%,0.9039579967689821,0.01068222802308227,1.277587652206421,,,,,,,,,1238.0
california_housing,20640,8,Global CQR,RELU,Bin 3,2,3,90%,0.9048465266558967,0.009917961536782436,1.3290064215660096,,,,,,,,,1238.0
california_housing,20640,8,Global CQR,RELU,Bin 4,4,4,90%,0.9060532687651331,0.017239528070796428,1.2162977457046509,,,,,,,,,1239.0
