Dataset,n,d,Method,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
bio,45730,9,Global CQR,Bin 4,1,4,90%,0.9016391023093719,0.01621450722428195,2.331737685203552,,,,,,,,,2744.0
bio,45730,9,Global CQR,Bin 5,2,5,90%,0.9078055431849318,0.010220052245558999,2.2277915477752686,,,,,,,,,2743.1
bio,45730,9,Localized CQR,Overall,,,90%,0.8981995772286611,0.004001769314335155,2.128501746290904,0.03438458524504841,13.021284013645948,2.2837365210056304,0.6689690014737852,0.88574650395547,0.006825243773930686,0.9086267562595062,0.02288025230403603,
bio,45730,9,Localized CQR,Bin 1,4,1,90%,0.891217201166181,0.008792169250989067,1.9251861438442988,,,,,,,,,2744.0
bio,45730,9,Localized CQR,Bin 2,1,2,90%,0.8971205235086466,0.008837187203571704,2.320400809572081,,,,,,,,,2744.0
bio,45730,9,Localized CQR,Bin 3,0,3,90%,0.898939455215449,0.012302599847925724,2.057902395604575,,,,,,,,,2743.9
bio,45730,9,Localized CQR,Bin 4,3,4,90%,0.8996355685131195,0.003152700984530926,2.1226109870432524,,,,,,,,,2744.0
bio,45730,9,Localized CQR,Bin 5,2,5,90%,0.9040867344281601,0.005494100094280046,2.2164360800137453,,,,,,,,,2743.1
community,1994,100,Global CQR,Overall,,,90%,0.9118530884808014,0.01156146223250804,2.0558956265449524,0.10628475804456082,0.4681471184737046,1.8235710978507995,0.7983107089996337,0.8241666666666665,0.026206975322527318,0.975,0.15083333333333332,
community,1994,100,Global CQR,Bin 1,0,1,90%,0.845,0.05567764362830023,2.699818968772888,,,,,,,,,120.0
community,1994,100,Global CQR,Bin 2,1,2,90%,0.8825,0.03772156765918759,2.145753824710846,,,,,,,,,120.0
community,1994,100,Global CQR,Bin 3,2,3,90%,0.926890756302521,0.026050420168067242,1.9015386819839477,,,,,,,,,119.0
community,1994,100,Global CQR,Bin 4,4,4,90%,0.95,0.0532290647422377,1.7944294929504394,,,,,,,,,120.0
community,1994,100,Global CQR,Bin 5,3,5,90%,0.9550000000000001,0.026666666666666655,1.736650776863098,,,,,,,,,120.0
community,1994,100,Localized CQR,Overall,,,90%,0.9005008347245409,0.01636060100166945,1.9988681542617155,0.07765969065777012,0.4552156162468452,1.6543810108676553,1.1370164565588294,0.8608333333333335,0.026887109674836134,0.9331512605042016,0.07231792717086835,
community,1994,100,Localized CQR,Bin 1,1,1,90%,0.89,0.028819360776317634,2.219281185994235,,,,,,,,,120.0
community,1994,100,Localized CQR,Bin 2,0,2,90%,0.8975,0.04014729823481969,3.1241039584809913,,,,,,,,,120.0
community,1994,100,Localized CQR,Bin 3,3,3,90%,0.9008333333333335,0.024846752526459282,1.4390621515735984,,,,,,,,,120.0
community,1994,100,Localized CQR,Bin 4,4,4,90%,0.9041666666666668,0.03440970470343764,1.4398991755753134,,,,,,,,,120.0
community,1994,100,Localized CQR,Bin 5,2,5,90%,0.9100840336134454,0.026587045411019108,1.7700877967047965,,,,,,,,,119.0
blog_data,52397,280,Global CQR,Overall,,,90%,0.8996692111959286,0.002110157421360361,107.07124937772751,227.61793824117754,4184.74383559653,0.058305782824754716,12096.845853161813,0.8381679389312977,0.008871480381045373,0.9473918575063613,0.10922391857506364,
blog_data,52397,280,Global CQR,Bin 1,4,1,90%,0.8381679389312977,0.008871480381045373,534.5457866191864,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,Bin 2,3,2,90%,0.8826335877862596,0.009136862142121996,0.3504093259572983,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,Bin 3,2,3,90%,0.9020356234096691,0.006620056356614615,0.18166878446936607,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,Bin 4,1,4,90%,0.9287213740458015,0.008620062332877357,0.1539536841213703,,,,,,,,,3144.0
blog_data,52397,280,Global CQR,Bin 5,0,5,90%,0.9467875318066158,0.007894258507285342,0.12442191876471043,,,,,,,,,3144.0
blog_data,52397,280,Localized CQR,Overall,,,90%,0.8501526717557253,0.008400955169316451,107.14874661807877,227.60376957760818,4187.644658376698,0.05073900893330574,12097.171338743825,0.7787531806615776,0.04489291711343507,0.9078880407124682,0.1291348600508906,
blog_data,52397,280,Localized CQR,Bin 1,4,1,90%,0.7787531806615776,0.04489291711343507,534.8682461088997,,,,,,,,,3144.0
blog_data,52397,280,Localized CQR,Bin 2,3,2,90%,0.8278944020356234,0.027584038826605598,0.4166635878028133,,,,,,,,,3144.0
blog_data,52397,280,Localized CQR,Bin 3,2,3,90%,0.8546437659033078,0.02007599724943955,0.18991954133328318,,,,,,,,,3144.0
