regime,method,seed,coverage,avg_width,median_width,width_std,width_ratio_to_oracle,width_ratio_marginal,worst_bin_cov,best_bin_cov,coverage_gap_mean,coverage_gap_max,coverage_range,oracle_width,bandwidth_h,Q_global,Q_local_mean,Q_local_std
C5,Local,7,0.895,3.023844887234339,3.4361224913850545,0.9296415662606771,0.971916311609019,0.9819924444373136,0.87,0.918,0.018200000000000015,0.030000000000000027,0.04800000000000004,3.0792954715318777,0.07368062997280775,,-0.008356903567875922,0.17216714466684518
C5,Global,8,0.8948,3.0777223110198975,3.3906264305114746,0.8358404636383057,1.0036512826376625,1.0004281084849347,0.881,0.922,0.014000000000000012,0.02200000000000002,0.041000000000000036,3.076405275818222,0.07368062997280775,0.009397376448551459,,
C5,Local,8,0.8908,3.0830010023076073,3.63031701902211,0.8864256566732789,0.9984672390526084,1.0021439719081326,0.872,0.915,0.015200000000000014,0.028000000000000025,0.04300000000000004,3.076405275818222,0.07368062997280775,,0.0120368028270074,0.08325013646599276
C5,Global,9,0.9004,3.223512887954712,3.6206488609313965,0.9810540676116943,1.0337353824198177,1.0434347803204653,0.867,0.927,0.020000000000000018,0.03300000000000003,0.06000000000000005,3.089328579755305,0.07368062997280775,0.0712785769020667,,
C5,Local,9,0.8984,3.1964114177426857,3.4756220138267917,0.9449391194243689,1.0306249906292746,1.034662171802995,0.882,0.921,0.016400000000000015,0.02100000000000002,0.039000000000000035,3.089328579755305,0.07368062997280775,,0.05772787398018756,0.10234568724810063
D1,Global,0,0.8908,2.432727336883545,2.1890628337860107,0.970022439956665,0.987703762686374,0.9845935001128887,0.88,0.904,0.01160000000000001,0.020000000000000018,0.02400000000000002,2.4707936184878534,0.07368062997280775,-0.03046022075389337,,
D1,Local,0,0.891,2.43438614911788,2.2168649962371196,0.9800581271523452,0.9882705028797504,0.9852648683007953,0.886,0.898,0.009000000000000008,0.014000000000000012,0.01200000000000001,2.4707936184878534,0.07368062997280775,,-0.029630754868421354,0.04608285239203175
D1,Global,1,0.9042,2.548030376434326,2.3648667335510254,0.9167214632034302,1.0376963252410976,1.022461051361375,0.872,0.93,0.016600000000000014,0.030000000000000027,0.05800000000000005,2.4920561746989804,0.07368062997280775,0.01860099599753232,,
D1,Local,1,0.8962,2.5406700038892565,2.341343189909831,1.1339482263075367,1.0158630975369174,1.019507517400224,0.884,0.905,0.007800000000000007,0.016000000000000014,0.02100000000000002,2.4920561746989804,0.07368062997280775,,0.014920686661329728,0.18986187377357006
D1,Global,2,0.9158,2.544858932495117,2.336422920227051,0.9396785497665405,1.0410531438479134,1.0224460661865264,0.892,0.945,0.018999999999999996,0.04499999999999993,0.052999999999999936,2.4889908784986754,0.07368062997280775,0.013551710591387604,,
D1,Local,2,0.9128,2.5444559091493284,2.3328361863000495,1.021371857895134,1.031954164944646,1.0222841437989152,0.905,0.92,0.012800000000000011,0.020000000000000018,0.015000000000000013,2.4889908784986754,0.07368062997280775,,0.013350188993652364,0.09743092688630761
D1,Global,3,0.9052,2.5217885971069336,2.3295164108276367,0.9761635661125183,1.0224157820680446,1.0123108181060372,0.88,0.921,0.013200000000000012,0.02100000000000002,0.041000000000000036,2.4911208613032745,0.07368062997280775,0.03889413547092218,,
D1,Local,3,0.9052,2.5351040155178968,2.348791054546326,1.0682106939168654,1.0231941268032552,1.0176559696070353,0.878,0.916,0.014000000000000012,0.02200000000000002,0.038000000000000034,2.4911208613032745,0.07368062997280775,,0.045551915376591805,0.13711506683573169
D1,Global,4,0.9022,2.5014262199401855,2.385025978088379,0.9166359305381775,1.0215289980215425,1.0102262036922034,0.883,0.914,0.013000000000000012,0.017000000000000015,0.031000000000000028,2.476105065180355,0.07368062997280775,0.04798914503352382,,
D1,Local,4,0.8986,2.4969463743982923,2.27978944369867,1.01763456497752,1.0083035365433597,1.0084169728946535,0.892,0.908,0.0050000000000000044,0.008000000000000007,0.016000000000000014,2.476105065180355,0.07368062997280775,,0.045749206150979604,0.13559785126275345
D1,Global,5,0.8988,2.4100089073181152,2.2016849517822266,0.886691153049469,0.9937405327068107,0.9782065131160412,0.881,0.927,0.013600000000000011,0.027000000000000024,0.04600000000000004,2.4637015548394987,0.07368062997280775,-0.03752592128673821,,
D1,Local,5,0.896,2.4231203523137155,2.1933958518120042,0.9952720173140734,0.9874291766188966,0.9835283610362348,0.884,0.911,0.008400000000000008,0.016000000000000014,0.027000000000000024,2.4637015548394987,0.07368062997280775,,-0.030970239238044543,0.11524032315197442
