regime,method,coverage_mean,coverage_std,width_mean,width_std,width_ratio_mean,width_ratio_std,cov_range_mean,cov_range_std,worst_cov_mean,worst_cov_std,cov_gap_mean,cov_gap_std,target_coverage,coverage_abs_gap_mean
B5,Global,0.90472,0.00556353205157379,3.3447237968444825,0.08888095843589804,1.0560770432049735,0.07665282755004643,0.04549999999999997,0.022545016694998837,0.8831,0.017470292244582276,0.01427999999999997,0.004737744423480641,0.9,0.0047199999999999465
B5,Local,0.90342,0.007030378526240391,3.3391929822827984,0.08201854886260418,1.049497988786953,0.07024103191881999,0.0393,0.014430292212333516,0.8827999999999999,0.015295605759679974,0.01338,0.00461345857248117,0.9,0.0034199999999999786
B6,Global,0.9039400000000001,0.006680019960050024,4.4421553134918215,0.08286717340925934,1.0241424621569633,0.017336826757344496,0.04469999999999997,0.0092261705068908,0.8839,0.008900062421753643,0.01429999999999997,0.003009983388658463,0.9,0.003940000000000055
B6,Local,0.90396,0.007129781046973154,4.46793758676991,0.08996578040153409,1.020511399784778,0.01758674857253398,0.0391,0.011249197502241856,0.8845000000000001,0.014198982749165916,0.01296,0.0037473546224859305,0.9,0.0039599999999999635
C1,Global,0.90466,0.0069551260073256755,2.605088138580322,0.045904969932084316,1.0241264013098441,0.016768504462688297,0.04129999999999999,0.011935474668213042,0.885,0.011440668201153695,0.014099999999999991,0.003212821536005729,0.9,0.0046599999999999975
C1,Local,0.90256,0.008016538460513293,2.6008761679213737,0.0541178284207725,1.018573549176239,0.01872438921421504,0.0369,0.00981438853022552,0.8836999999999999,0.012481541927538014,0.0128,0.0036380703065712677,0.9,0.0025600000000000067
C2,Global,0.9017200000000001,0.00635623927946218,3.6633360624313354,0.0514017695567623,1.0121001272418764,0.015409961895610868,0.0318,0.011043348928452617,0.8853,0.01119573331427846,0.01072,0.004013532663931421,0.9,0.0017200000000000548
C2,Local,0.90008,0.00611824230387202,3.6587172963217873,0.0485277267952693,1.0102825545801313,0.014242056486703935,0.0259,0.008974655672751153,0.8869,0.007964504588066568,0.00916,0.002812353699898598,0.9,7.999999999996898e-05
C3,Global,0.89862,0.007722665055248436,3.7579787492752077,0.0623449936762214,1.0070184731504335,0.019405074983326467,0.0369,0.012178761111961357,0.8791,0.00782375300678076,0.014299999999999998,0.0038646546489376713,0.9,0.0013800000000000479
C3,Local,0.89704,0.0071819526902120725,3.756456226588302,0.07744084962487498,1.0048998239728912,0.018539160775705554,0.046,0.015748015748023623,0.8737999999999999,0.01719043661781489,0.013919999999999998,0.004477300774152013,0.9,0.0029600000000000737
C4,Global,0.8987,0.007450130498484186,4.54297022819519,0.08720959489269835,1.0119708347060627,0.0286462287990041,0.04189999999999998,0.014828276291524134,0.8792,0.003994440581052068,0.014659999999999989,0.004491028093135602,0.9,0.0012999999999999678
C4,Local,0.8902599999999999,0.00507722583919815,4.52104139591996,0.07921860928349797,0.9974774892839603,0.02314930058093299,0.033499999999999995,0.012660086009888629,0.8746,0.010101705026600414,0.014299999999999998,0.004836206042848969,0.9,0.009740000000000082
C5,Global,0.89702,0.005848038607563709,3.095246458053589,0.0653001610925799,1.0032207280984324,0.019810136586881456,0.0487,0.011738351199759226,0.8721,0.005506561742341794,0.016220000000000002,0.0036508142166432464,0.9,0.0029799999999999827
C5,Local,0.89442,0.006893765299167084,3.0795654167528594,0.06501843783538143,0.9974030903168414,0.022328138670697936,0.0412,0.011811482172492624,0.8734999999999999,0.012285944995988072,0.0155,0.004226109321823087,0.9,0.005580000000000029
D1,Global,0.9016400000000001,0.006915875456754054,2.499817705154419,0.05293081302195049,1.0154116914387559,0.020433657319386622,0.04129999999999999,0.01034998658077497,0.8800000000000001,0.005868938953886338,0.013839999999999991,0.0027289395579805347,0.9,0.0016400000000000858
D1,Local,0.8993800000000001,0.00630587028093666,2.496814032261458,0.0481550056948392,1.008449406533352,0.014542231017916116,0.025500000000000002,0.01051189802081432,0.8865000000000001,0.008031189202104496,0.00974,0.002600940001016726,0.9,0.0006199999999999539
D2,Global,0.90504,0.006473055263509237,7.444680023193359,0.10950313182058148,1.0249907675745529,0.017029655565297012,0.03909999999999999,0.010104454463255287,0.8863,0.010499206319209736,0.01363999999999999,0.00349831705570296,0.9,0.005039999999999933
D2,Local,0.90266,0.007609964228270432,7.424678717985091,0.11895066047781444,1.0199550942272038,0.019264958857363176,0.0373,0.011804424782446811,0.8833,0.01468975455509347,0.013139999999999999,0.004812068162443254,0.9,0.0026599999999999957
D3,Global,0.8964000000000001,0.007587709360098938,6.174687147140503,0.22828017707072631,1.0368902511444342,0.027314817992126924,0.06009999999999999,0.014880636187116896,0.8657,0.014651886492113478,0.01971999999999999,0.00395440682445968,0.9,0.0035999999999999366
D3,Local,0.89578,0.008270133681574377,6.254771859165702,0.18448020376669824,1.027530221532353,0.02920357950439182,0.0451,0.015637916883154367,0.8721,0.014820781205980859,0.01582,0.005436052489322254,0.9,0.0042200000000000015
D4,Global,0.9051199999999999,0.007286639219222474,3.3667961597442626,0.0510339829030583,1.03272951925321,0.016339855787429032,0.04189999999999998,0.01360922889480189,0.8846,0.013091133555875817,0.01471999999999998,0.0034835486376841402,0.9,0.005119999999999902
D4,Local,0.90344,0.00682205573448683,3.371381322009337,0.05593379612375893,1.0243420684586495,0.01727399446826806,0.040100000000000004,0.013900039967968117,0.8829,0.015416081069959252,0.01424,0.004247666025791889,0.9,0.0034399999999999986
E1,Global,0.89724,0.004964585693802763,4.764241075515747,0.048659757056745974,1.0122195600730461,0.010338367960808793,0.035199999999999995,0.008107609594284453,0.8795999999999999,0.00863069457743054,0.0124,0.0029499529186450117,0.9,0.0027599999999999847
E1,Local,0.8942,0.004876246279442633,4.747277957206755,0.06889890350726738,1.008615559969071,0.014638389992889017,0.0397,0.01729515025150757,0.8744,0.012249263016379585,0.01364,0.005691162740014849,0.9,0.005800000000000027
